dataset,arm,backbone,h,seed,variant,pinball,crps,cov80,cov_lo,cov_hi,val_cov80
jeju_wind,fan,rlinear_q,48,4,none,0.309051,0.618102,0.277697,0.424772,0.702469,0.248429
jeju_wind,fan,rlinear_q,48,4,pooled,0.277495,0.55499,0.83225,0.086615,0.918865,0.799996
jeju_wind,fan,rlinear_q,48,4,perstep,0.27441,0.54882,0.833386,0.085584,0.91897,0.79986
jeju_wind,condnorm,rlinear_q,48,0,none,0.165047,0.330094,0.586331,0.209696,0.796027,0.544527
jeju_wind,condnorm,rlinear_q,48,0,pooled,0.161274,0.322549,0.834811,0.050897,0.885709,0.799996
jeju_wind,condnorm,rlinear_q,48,0,perstep,0.161278,0.322557,0.833917,0.050587,0.884504,0.79986
jeju_wind,condnorm,rlinear_q,48,1,none,0.165792,0.331585,0.58306,0.220083,0.803143,0.555087
jeju_wind,condnorm,rlinear_q,48,1,pooled,0.161611,0.323223,0.830998,0.057346,0.888344,0.799996
jeju_wind,condnorm,rlinear_q,48,1,perstep,0.161576,0.323153,0.830967,0.056646,0.887613,0.79986
jeju_wind,condnorm,rlinear_q,48,2,none,0.164259,0.328519,0.588735,0.213714,0.802449,0.544101
jeju_wind,condnorm,rlinear_q,48,2,pooled,0.160641,0.321282,0.837152,0.052612,0.889764,0.799996
jeju_wind,condnorm,rlinear_q,48,2,perstep,0.160592,0.321184,0.83742,0.052512,0.889932,0.79986
jeju_wind,condnorm,rlinear_q,48,3,none,0.164893,0.329787,0.589934,0.210442,0.800377,0.551199
jeju_wind,condnorm,rlinear_q,48,3,pooled,0.161327,0.322654,0.833123,0.052775,0.885898,0.799996
jeju_wind,condnorm,rlinear_q,48,3,perstep,0.161291,0.322582,0.833323,0.052701,0.886024,0.79986
jeju_wind,condnorm,rlinear_q,48,4,none,0.164233,0.328466,0.595236,0.209785,0.805021,0.544493
jeju_wind,condnorm,rlinear_q,48,4,pooled,0.160887,0.321774,0.839093,0.051402,0.890495,0.799996
jeju_wind,condnorm,rlinear_q,48,4,perstep,0.160855,0.32171,0.839797,0.05085,0.890647,0.79986
gefcom_wind,raw,rlinear_q,24,0,none,0.272644,0.545289,0.762661,0.088424,0.851085,0.772268
