[supervised] attempt 1/3 2026-07-20 13:40:04 :: uv run python -m experiments.g7_blocke --arms revin_all,linmix_raw,linmix_revin,linmix_condnorm
[287] etth2_linmix_raw_24_1: mse=0.1807 mae=0.2839 (0.39s)
[288] etth2_linmix_raw_24_2: mse=0.1799 mae=0.2809 (0.43s)
[289] etth2_linmix_raw_24_3: mse=0.1781 mae=0.2783 (0.3s)
[290] etth2_linmix_raw_24_4: mse=0.1767 mae=0.2778 (0.32s)
[291] etth2_linmix_revin_24_0: mse=0.1681 mae=0.2628 (0.4s)
[292] etth2_linmix_revin_24_1: mse=0.1723 mae=0.2662 (0.3s)
[293] etth2_linmix_revin_24_2: mse=0.1663 mae=0.2612 (0.38s)
[294] etth2_linmix_revin_24_3: mse=0.1662 mae=0.2621 (0.41s)
[295] etth2_linmix_revin_24_4: mse=0.1683 mae=0.2639 (0.36s)
[296] etth2_linmix_condnorm_24_0: mse=11.6282 mae=2.5383 (0.09s)
[297] etth2_linmix_condnorm_24_1: mse=11.5948 mae=2.5149 (0.1s)
[298] etth2_linmix_condnorm_24_2: mse=11.8823 mae=2.5535 (0.1s)
[299] etth2_linmix_condnorm_24_3: mse=11.1246 mae=2.4699 (0.1s)
[300] etth2_linmix_condnorm_24_4: mse=10.9239 mae=2.4382 (0.09s)
[301] etth2_revin_all_96_0: mse=0.2807 mae=0.3427 (0.42s)
[302] etth2_revin_all_96_1: mse=0.2782 mae=0.3406 (0.52s)
[303] etth2_revin_all_96_2: mse=0.2764 mae=0.3389 (0.55s)
[304] etth2_revin_all_96_3: mse=0.2798 mae=0.3418 (0.54s)
[305] etth2_revin_all_96_4: mse=0.2830 mae=0.3447 (0.58s)
[306] etth2_linmix_raw_96_0: mse=0.3190 mae=0.3857 (0.34s)
[307] etth2_linmix_raw_96_1: mse=0.3097 mae=0.3768 (0.29s)
[308] etth2_linmix_raw_96_2: mse=0.3303 mae=0.3921 (0.32s)
[309] etth2_linmix_raw_96_3: mse=0.3252 mae=0.3882 (0.34s)
[310] etth2_linmix_raw_96_4: mse=0.3224 mae=0.3863 (0.28s)
[311] etth2_linmix_revin_96_0: mse=0.2784 mae=0.3408 (0.33s)
[312] etth2_linmix_revin_96_1: mse=0.2806 mae=0.3408 (0.33s)
[313] etth2_linmix_revin_96_2: mse=0.2806 mae=0.3426 (0.46s)
