dataset,arm,backbone,h,seed,pinball,crps,cov80,cov_lo,cov_hi
etth2,condnorm,rlinear_q,24,0,1.461952,2.923903,0.019474,0.816307,0.835781
etth2,condnorm,rlinear_q,24,1,1.453674,2.907347,0.021441,0.815891,0.837331
etth2,condnorm,rlinear_q,24,2,1.436028,2.872056,0.023278,0.814245,0.837523
etth2,condnorm,rlinear_q,24,3,1.467643,2.935286,0.021201,0.815685,0.836886
etth2,condnorm,rlinear_q,24,4,1.447351,2.894702,0.021882,0.81563,0.837513
etth2,raw,rlinear_q,96,0,0.143194,0.286388,0.767479,0.139729,0.907208
etth2,raw,rlinear_q,96,1,0.144175,0.288351,0.811045,0.116689,0.927733
etth2,raw,rlinear_q,96,2,0.14452,0.28904,0.800154,0.140128,0.940283
etth2,raw,rlinear_q,96,3,0.145129,0.290258,0.812175,0.128013,0.940187
etth2,raw,rlinear_q,96,4,0.14393,0.287859,0.81564,0.120296,0.935935
etth2,revin,rlinear_q,96,0,0.136226,0.272453,0.753493,0.125599,0.879092
etth2,revin,rlinear_q,96,1,0.136398,0.272795,0.745723,0.128094,0.873817
etth2,revin,rlinear_q,96,2,0.135981,0.271962,0.753254,0.125635,0.878889
etth2,revin,rlinear_q,96,3,0.135916,0.271832,0.759214,0.122335,0.88155
etth2,revin,rlinear_q,96,4,0.135812,0.271623,0.75939,0.122246,0.881636
etth2,san,rlinear_q,96,0,0.138962,0.277925,0.684801,0.159505,0.844305
etth2,san,rlinear_q,96,1,0.139268,0.278537,0.693961,0.15652,0.85048
etth2,san,rlinear_q,96,2,0.138785,0.277571,0.694107,0.151465,0.845572
etth2,san,rlinear_q,96,3,0.138798,0.277596,0.686338,0.159492,0.84583
etth2,san,rlinear_q,96,4,0.139592,0.279185,0.690416,0.153662,0.844079
etth2,fan,rlinear_q,96,0,0.156642,0.313284,0.734027,0.111801,0.845828
etth2,fan,rlinear_q,96,1,0.158302,0.316603,0.558696,0.221436,0.780131
etth2,fan,rlinear_q,96,2,0.15262,0.305241,0.688766,0.158237,0.847004
etth2,fan,rlinear_q,96,3,0.163559,0.327118,0.537292,0.184481,0.721773
