dataset,arm,h,seed,mse,mae,nmae
etth1,linmix_raw,336,1,0.471748,0.471369,
etth1,linmix_raw,336,2,0.471784,0.471831,
etth1,linmix_raw,336,3,0.472005,0.471493,
etth1,linmix_raw,336,4,0.465157,0.465559,
etth1,linmix_revin,336,0,0.450551,0.446152,
etth1,linmix_revin,336,1,0.445892,0.443171,
etth1,linmix_revin,336,2,0.452417,0.448498,
etth1,linmix_revin,336,3,0.451548,0.447672,
etth1,linmix_revin,336,4,0.447672,0.444788,
etth1,linmix_condnorm,336,0,2.282116,1.14027,
etth1,linmix_condnorm,336,1,2.305519,1.146287,
etth1,linmix_condnorm,336,2,2.238013,1.130577,
etth1,linmix_condnorm,336,3,2.230946,1.127124,
etth1,linmix_condnorm,336,4,2.226353,1.126897,
etth2,revin_all,24,0,0.168632,0.264452,
etth2,revin_all,24,1,0.165748,0.261554,
etth2,revin_all,24,2,0.170849,0.265479,
etth2,revin_all,24,3,0.167878,0.263341,
etth2,revin_all,24,4,0.168909,0.264672,
etth2,linmix_raw,24,0,0.173138,0.272219,
etth2,linmix_raw,24,1,0.18067,0.283867,
etth2,linmix_raw,24,2,0.179905,0.280895,
etth2,linmix_raw,24,3,0.17811,0.278266,
etth2,linmix_raw,24,4,0.176734,0.277825,
etth2,linmix_revin,24,0,0.168067,0.262834,
etth2,linmix_revin,24,1,0.172281,0.266244,
etth2,linmix_revin,24,2,0.166273,0.261192,
etth2,linmix_revin,24,3,0.16618,0.262054,
etth2,linmix_revin,24,4,0.168286,0.263923,
etth2,linmix_condnorm,24,0,11.628241,2.538286,
etth2,linmix_condnorm,24,1,11.594762,2.514943,
etth2,linmix_condnorm,24,2,11.882326,2.553486,
etth2,linmix_condnorm,24,3,11.124597,2.469914,
etth2,linmix_condnorm,24,4,10.923866,2.438155,
etth2,revin_all,96,0,0.280719,0.342744,
etth2,revin_all,96,1,0.278206,0.34056,
etth2,revin_all,96,2,0.276435,0.338906,
etth2,revin_all,96,3,0.279824,0.341763,
etth2,revin_all,96,4,0.282973,0.344696,
etth2,linmix_raw,96,0,0.319012,0.38574,
etth2,linmix_raw,96,1,0.309729,0.376797,
etth2,linmix_raw,96,2,0.330286,0.392071,
etth2,linmix_raw,96,3,0.32524,0.388166,
etth2,linmix_raw,96,4,0.322356,0.386271,
etth2,linmix_revin,96,0,0.278423,0.340758,
etth2,linmix_revin,96,1,0.280624,0.340802,
etth2,linmix_revin,96,2,0.280579,0.342612,
etth2,linmix_revin,96,3,0.279241,0.339815,
etth2,linmix_revin,96,4,0.280886,0.341893,
etth2,linmix_condnorm,96,0,6.45105,1.814622,
etth2,linmix_condnorm,96,1,6.077538,1.768013,
etth2,linmix_condnorm,96,2,6.423185,1.821932,
etth2,linmix_condnorm,96,3,6.192228,1.782554,
etth2,linmix_condnorm,96,4,6.109635,1.778793,
etth2,revin_all,336,0,0.374245,0.407659,
etth2,revin_all,336,1,0.370708,0.405763,
etth2,revin_all,336,2,0.371406,0.405938,
etth2,revin_all,336,3,0.3622,0.40008,
etth2,revin_all,336,4,0.364214,0.401016,
etth2,linmix_raw,336,0,0.548544,0.524792,
etth2,linmix_raw,336,1,0.603734,0.544964,
etth2,linmix_raw,336,2,0.613524,0.551933,
etth2,linmix_raw,336,3,0.607409,0.551102,
etth2,linmix_raw,336,4,0.542602,0.516563,
etth2,linmix_revin,336,0,0.363723,0.402915,
etth2,linmix_revin,336,1,0.365044,0.402257,
etth2,linmix_revin,336,2,0.362257,0.39999,
etth2,linmix_revin,336,3,0.358562,0.397358,
etth2,linmix_revin,336,4,0.361991,0.399276,
etth2,linmix_condnorm,336,0,4.506986,1.510044,
etth2,linmix_condnorm,336,1,4.74356,1.571318,
etth2,linmix_condnorm,336,2,4.524902,1.527707,
etth2,linmix_condnorm,336,3,4.306834,1.512897,
etth2,linmix_condnorm,336,4,4.395108,1.527919,
weather,revin_all,24,0,0.109051,0.159374,
