lam,seed,L,h,norm,mse,mae,epochs,r2_level,sigma_est2,th_level_term,wall_s
0.0,6,336,96,cn_est,0.240052,0.391883,9,0.0024,0.320478,0.345177,0.17
0.0,6,336,336,raw,0.238151,0.389536,14,0.0024,nan,0.344259,0.27
0.0,6,336,336,revin,0.23683,0.388426,8,0.0024,nan,0.02702,0.23
0.0,6,336,336,cn_oracle,0.203719,0.361063,5,0.0024,nan,0.0,0.1
0.0,6,336,336,cn_est,0.259237,0.407256,14,0.0024,0.320478,0.353323,0.27
0.0,7,96,24,raw,0.615334,0.625041,6,0.0002,nan,8.036962,0.1
0.0,7,96,24,revin,0.577598,0.605588,9,0.0002,nan,0.035564,0.32
0.0,7,96,24,cn_oracle,0.542433,0.585476,9,0.0002,nan,0.0,0.18
0.0,7,96,24,cn_est,0.632451,0.632682,6,0.0002,8.011037,8.040496,0.12
0.0,7,96,96,raw,0.715896,0.677025,11,0.0002,nan,8.019806,0.21
0.0,7,96,96,revin,0.607002,0.621817,6,0.0002,nan,0.053004,0.18
0.0,7,96,96,cn_oracle,0.554695,0.59311,6,0.0002,nan,0.0,0.11
0.0,7,96,96,cn_est,0.737088,0.686346,11,0.0002,8.011037,8.021295,0.23
0.0,7,96,336,raw,0.955895,0.783057,4,0.0002,nan,7.874487,0.08
0.0,7,96,336,revin,0.669444,0.65243,7,0.0002,nan,0.120265,0.21
0.0,7,96,336,cn_oracle,0.563034,0.598124,7,0.0002,nan,0.0,0.12
0.0,7,96,336,cn_est,0.973775,0.789763,4,0.0002,8.011037,7.873606,0.07
0.0,7,336,24,raw,0.783479,0.709907,7,0.0002,nan,8.036962,0.12
0.0,7,336,24,revin,0.579014,0.607477,7,0.0002,nan,0.067707,0.21
0.0,7,336,24,cn_oracle,0.547541,0.59011,7,0.0002,nan,0.0,0.14
0.0,7,336,24,cn_est,0.831392,0.731179,7,0.0002,7.898228,8.040496,0.14
0.0,7,336,96,raw,0.836643,0.731856,8,0.0002,nan,8.019806,0.13
0.0,7,336,96,revin,0.607095,0.621569,6,0.0002,nan,0.084853,0.16
0.0,7,336,96,cn_oracle,0.559751,0.596168,5,0.0002,nan,0.0,0.08
0.0,7,336,96,cn_est,0.872769,0.746278,8,0.0002,7.898228,8.021295,0.13
0.0,7,336,336,raw,1.071391,0.828437,4,0.0002,nan,7.874487,0.09
0.0,7,336,336,revin,0.657136,0.645915,5,0.0002,nan,0.120098,0.19
0.0,7,336,336,cn_oracle,0.565069,0.599665,5,0.0002,nan,0.0,0.09
0.0,7,336,336,cn_est,1.086611,0.833215,4,0.0002,7.898228,7.873606,0.07
0.0,8,96,24,raw,0.29485,0.435742,9,0.0191,nan,0.504228,0.15
0.0,8,96,24,revin,0.294592,0.435372,6,0.0191,nan,0.03669,0.16
0.0,8,96,24,cn_oracle,0.266715,0.415342,6,0.0191,nan,0.0,0.11
0.0,8,96,24,cn_est,0.315308,0.450354,10,0.0191,0.547453,0.521497,0.16
0.0,8,96,96,raw,0.333229,0.464065,7,0.0191,nan,0.498265,0.13
0.0,8,96,96,revin,0.329488,0.46157,11,0.0191,nan,0.062546,0.36
0.0,8,96,96,cn_oracle,0.272407,0.420541,6,0.0191,nan,0.0,0.13
0.0,8,96,96,cn_est,0.352838,0.477643,7,0.0191,0.547453,0.515405,0.14
0.0,8,96,336,raw,0.386125,0.497799,8,0.0191,nan,0.470674,0.15
0.0,8,96,336,revin,0.388548,0.499354,6,0.0191,nan,0.112641,0.17
0.0,8,96,336,cn_oracle,0.274175,0.420686,6,0.0191,nan,0.0,0.1
0.0,8,96,336,cn_est,0.403409,0.509308,8,0.0191,0.547453,0.488768,0.12
0.0,8,336,24,raw,0.295948,0.436849,10,0.0191,nan,0.504228,0.16
0.0,8,336,24,revin,0.300086,0.439554,8,0.0191,nan,0.0651,0.24
0.0,8,336,24,cn_oracle,0.269916,0.41766,5,0.0191,nan,0.0,0.1
0.0,8,336,24,cn_est,0.316514,0.452068,10,0.0191,0.604335,0.521497,0.17
0.0,8,336,96,raw,0.339446,0.4681,7,0.0191,nan,0.498265,0.13
0.0,8,336,96,revin,0.332241,0.463209,5,0.0191,nan,0.081018,0.14
0.0,8,336,96,cn_oracle,0.273931,0.421376,9,0.0191,nan,0.0,0.17
0.0,8,336,96,cn_est,0.360295,0.482598,7,0.0191,0.604335,0.515405,0.14
0.0,8,336,336,raw,0.389847,0.500354,11,0.0191,nan,0.470674,0.21
0.0,8,336,336,revin,0.386657,0.498244,5,0.0191,nan,0.124984,0.15
0.0,8,336,336,cn_oracle,0.273016,0.420646,6,0.0191,nan,0.0,0.11
0.0,8,336,336,cn_est,0.407897,0.512537,11,0.0191,0.604335,0.488768,0.21
0.0,9,96,24,raw,0.421348,0.514228,7,0.0035,nan,3.617705,0.14
0.0,9,96,24,revin,0.405505,0.504257,6,0.0035,nan,0.015863,0.18
0.0,9,96,24,cn_oracle,0.39192,0.494963,6,0.0035,nan,0.0,0.11
0.0,9,96,24,cn_est,0.437143,0.524027,7,0.0035,3.615688,3.645224,0.13
0.0,9,96,96,raw,0.425236,0.516525,8,0.0035,nan,3.620566,0.18
0.0,9,96,96,revin,0.408274,0.50593,7,0.0035,nan,0.018798,0.19
0.0,9,96,96,cn_oracle,0.393664,0.495325,8,0.0035,nan,0.0,0.15
0.0,9,96,96,cn_est,0.440851,0.526439,8,0.0035,3.615688,3.648978,0.14
0.0,9,96,336,raw,0.440803,0.52545,6,0.0035,nan,3.642246,0.1
0.0,9,96,336,revin,0.415428,0.510061,6,0.0035,nan,0.026497,0.16
0.0,9,96,336,cn_oracle,0.396887,0.497769,7,0.0035,nan,0.0,0.14
0.0,9,96,336,cn_est,0.456609,0.535285,6,0.0035,3.615688,3.671199,0.1
0.0,9,336,24,raw,0.456415,0.5354,9,0.0035,nan,3.617705,0.17
0.0,9,336,24,revin,0.400273,0.50048,7,0.0035,nan,0.013947,0.27
0.0,9,336,24,cn_oracle,0.393757,0.496176,7,0.0035,nan,0.0,0.15
0.0,9,336,24,cn_est,0.471033,0.545074,14,0.0035,3.560111,3.645224,0.26
0.0,9,336,96,raw,0.471909,0.545153,10,0.0035,nan,3.620566,0.19
0.0,9,336,96,revin,0.407344,0.505727,5,0.0035,nan,0.016492,0.13
0.0,9,336,96,cn_oracle,0.398808,0.499234,5,0.0035,nan,0.0,0.09
0.0,9,336,96,cn_est,0.488065,0.554523,10,0.0035,3.560111,3.648978,0.19
